"BehaviorSpace results (NetLogo 6.1.1)"
"coc00031.nlogo"
"Allv3"
"03/02/2020 05:00:27:711 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-8","8"
"[run number]","number-of-lanes","max-patience","acceleration","number-of-cars","deceleration","[step]","[speed] of selected-car"
"5","1","1","0.002","1","0.1","999","0"
"2","1","1","0.002","1","0.04","999","0"
"3","1","1","0.002","1","0.06","999","0"
"6","1","1","0.002","11","0.02","999","0"
"4","1","1","0.002","1","0.08","999","0"
"8","1","1","0.002","11","0.06","999","0"
"7","1","1","0.002","11","0.04","999","0"
"9","1","1","0.002","11","0.08","999","0"
"1","1","1","0.002","1","0.02","999","0"
"10","1","1","0.002","11","0.1","999","0"
"12","1","1","0.002","21","0.04","999","0"
"11","1","1","0.002","21","0.02","999","0"
"13","1","1","0.002","21","0.06","999","0"
"15","1","1","0.002","21","0.1","999","0"
"14","1","1","0.002","21","0.08","999","0"
"16","1","1","0.002","31","0.02","999","0"
"18","1","1","0.002","31","0.06","999","0"
"19","1","1","0.002","31","0.08","999","0"
"17","1","1","0.002","31","0.04","999","0.01"
"20","1","1","0.002","31","0.1","999","0.05800000000000005"
"21","1","1","0.002","41","0.02","999","0"
"22","1","1","0.002","41","0.04","999","0"
"24","1","1","0.002","41","0.08","999","0"
"23","1","1","0.002","41","0.06","999","0.016"
"25","1","1","0.002","41","0.1","999","0.01200000000000001"
"26","1","1","0.002","51","0.02","999","0"
"27","1","1","0.002","51","0.04","999","0"
"28","1","1","0.002","51","0.06","999","0.07000000000000037"
"29","1","1","0.002","51","0.08","999","0"
"30","1","1","0.002","51","0.1","999","0"
"31","1","1","0.002","61","0.02","999","0"
"32","1","1","0.002","61","0.04","999","0"
"33","1","1","0.002","61","0.06","999","0"
"34","1","1","0.002","61","0.08","999","0"
"35","1","1","0.002","61","0.1","999","0"
"36","1","1","0.002","71","0.02","999","0"
"37","1","1","0.002","71","0.04","999","0"
"38","1","1","0.002","71","0.06","999","0"
"39","1","1","0.002","71","0.08","999","0"
"40","1","1","0.002","71","0.1","999","0"
"41","1","1","0.002","81","0.02","999","0"
"42","1","1","0.002","81","0.04","999","0"
"43","1","1","0.002","81","0.06","999","0"
"44","1","1","0.002","81","0.08","999","0"
"45","1","1","0.002","81","0.1","999","0"
"47","1","1","0.002","91","0.04","999","0"
"46","1","1","0.002","91","0.02","999","0"
"49","1","1","0.002","91","0.08","999","0"
"48","1","1","0.002","91","0.06","999","0"
"50","1","1","0.002","91","0.1","999","0"
"52","1","1","0.002","101","0.04","999","0"
"51","1","1","0.002","101","0.02","999","0"
"54","1","1","0.002","101","0.08","999","0"
"55","1","1","0.002","101","0.1","999","0"
"53","1","1","0.002","101","0.06","999","0"
"56","1","1","0.002","111","0.02","999","0"
"57","1","1","0.002","111","0.04","999","0.002"
"58","1","1","0.002","111","0.06","999","0"
"60","1","1","0.002","111","0.1","999","0.07400000000000005"
"59","1","1","0.002","111","0.08","999","0"
"61","1","1","0.002","121","0.02","999","0"
"63","1","1","0.002","121","0.06","999","0"
"62","1","1","0.002","121","0.04","999","0"
"64","1","1","0.002","121","0.08","999","0.08"
"66","1","1","0.002","131","0.02","999","0"
"65","1","1","0.002","121","0.1","999","0"
"68","1","1","0.002","131","0.06","999","0.020000000000000018"
"67","1","1","0.002","131","0.04","999","0"
"69","1","1","0.002","131","0.08","999","0.018000000000000002"
"71","1","1","0.002","141","0.02","999","0"
"72","1","1","0.002","141","0.04","999","0"
"70","1","1","0.002","131","0.1","999","0.1"
"73","1","1","0.002","141","0.06","999","0.06"
"74","1","1","0.002","141","0.08","999","0"
"75","1","1","0.002","141","0.1","999","0.1"
"76","1","1","0.002","151","0.02","999","0"
"77","1","1","0.002","151","0.04","999","0"
"78","1","1","0.002","151","0.06","999","0"
"79","1","1","0.002","151","0.08","999","0.016"
"81","1","1","0.002","161","0.02","999","0"
"80","1","1","0.002","151","0.1","999","0.1"
"82","1","1","0.002","161","0.04","999","0"
"83","1","1","0.002","161","0.06","999","0"
"85","1","1","0.002","161","0.1","999","0"
"86","1","1","0.002","171","0.02","999","0"
"87","1","1","0.002","171","0.04","999","0"
"84","1","1","0.002","161","0.08","999","0"
"88","1","1","0.002","171","0.06","999","0"
"89","1","1","0.002","171","0.08","999","0"
"90","1","1","0.002","171","0.1","999","0"
"91","1","1","0.002","181","0.02","999","0"
"92","1","1","0.002","181","0.04","999","0"
"93","1","1","0.002","181","0.06","999","0"
"94","1","1","0.002","181","0.08","999","0"
"95","1","1","0.002","181","0.1","999","0"
"96","1","1","0.002","191","0.02","999","0"
"97","1","1","0.002","191","0.04","999","0"
"98","1","1","0.002","191","0.06","999","0"
"103","1","1","0.004","1","0.06","999","0"
"102","1","1","0.004","1","0.04","999","0"
"101","1","1","0.004","1","0.02","999","0"
"104","1","1","0.004","1","0.08","999","0"
"105","1","1","0.004","1","0.1","999","0"
"106","1","1","0.004","11","0.02","999","0"
"99","1","1","0.002","191","0.08","999","0.08"
"107","1","1","0.004","11","0.04","999","0"
"100","1","1","0.002","191","0.1","999","0"
"109","1","1","0.004","11","0.08","999","0"
"108","1","1","0.004","11","0.06","999","0"
"110","1","1","0.004","11","0.1","999","0.35200000000000065"
"111","1","1","0.004","21","0.02","999","0"
"112","1","1","0.004","21","0.04","999","0"
"114","1","1","0.004","21","0.08","999","0"
"113","1","1","0.004","21","0.06","999","0"
"115","1","1","0.004","21","0.1","999","0.1000000000000004"
"116","1","1","0.004","31","0.02","999","0"
"117","1","1","0.004","31","0.04","999","0"
